ServerName,FieldName,CurrentValue,ProposedValue
ah57ndcla00008,Purpose,,IIB App Server - OS patching can restart without app admin assistance.
ah57ndcla00008,Supportgroup,,ATP SW ADMIN
ah57ndcla00012,System,,ATP
ah57ndcla00012,Purpose,,IIB App Server - OS patching can restart without app admin assistance.
ah57ndcla00012,Supportgroup,,ATP SW ADMIN
ah57ndcla00054,System,,ATP
ah57ndcla00054,Purpose,,Oracle Database Firewall
ah57ndcla00054,Supportgroup,,OAV SW ADMIN
ah57ndcla00061,System,,Code Management
ah57ndcla00061,Purpose,,Code Management - OS patching can restart without app admin assistance.
ah57ndcla00061,Supportgroup,,CODE MANAGEMENT SW ADMIN
ah57ndcla00066,System,,Autosys
ah57ndcla00066,Purpose,,Autosys App
ah57ndcla00066,Supportgroup,,MMIS Support INF UNIX
ah57ndcla00067,System,,Autosys
ah57ndcla00067,Purpose,,Autosys App
ah57ndcla00067,Supportgroup,,MMIS Support INF UNIX
ah57ndcla00068,System,,Autosys
ah57ndcla00068,Purpose,,Autosys App
ah57ndcla00068,Supportgroup,,MMIS Support INF UNIX
ah57ndcla00147,System,,Autosys
ah57ndcla00147,Purpose,,Autosys App
ah57ndcla00147,Supportgroup,,MMIS Support INF UNIX
ah57ndcla00148,System,,Autosys
ah57ndcla00148,Purpose,,Autosys App
ah57ndcla00148,Supportgroup,,MMIS Support INF UNIX
ah57ndcla00149,System,,Autosys
ah57ndcla00149,Purpose,,Autosys App
ah57ndcla00149,Supportgroup,,MMIS Support INF UNIX
ah57ndcla00168,System,,SOA Production-DR (RHEL8)
ah57ndcla00168,Purpose,,IBM ACE
ah57ndcla00168,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla00169,System,,SOA Production-DR (RHEL8)
ah57ndcla00169,Purpose,,IBM ACE
ah57ndcla00169,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla00170,System,,SOA Production-DR (RHEL8)
ah57ndcla00170,Purpose,,IBM WAS
ah57ndcla00170,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla00171,System,,SOA Production-DR (RHEL8)
ah57ndcla00171,Purpose,,IBM WAS
ah57ndcla00171,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla00172,System,,SOA Production-DR (RHEL8)
ah57ndcla00172,Purpose,,IBM BAW
ah57ndcla00172,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla00173,System,,SOA Production-DR (RHEL8)
ah57ndcla00173,Purpose,,IBM BAW
ah57ndcla00173,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla00174,System,,SOA Production-DR (RHEL8)
ah57ndcla00174,Purpose,,Progress Corticon
ah57ndcla00174,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla00175,System,,SOA Production-DR (RHEL8)
ah57ndcla00175,Purpose,,Progress Corticon
ah57ndcla00175,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla00176,System,,SOA Production-DR (RHEL8)
ah57ndcla00176,Purpose,,IBM WSRR
ah57ndcla00176,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla00177,System,,SOA Production-DR (RHEL8)
ah57ndcla00177,Purpose,,IBM WSRR
ah57ndcla00177,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01040,System,,SOA Dev
ah57ndcla01040,Purpose,,SOA Application Server (WAS)
ah57ndcla01040,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01041,System,,SOA Dev
ah57ndcla01041,Purpose,,SOA Application Server (BPM)
ah57ndcla01041,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01042,System,,SOA Dev
ah57ndcla01042,Purpose,,SOA Application Server (WAS)
ah57ndcla01042,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01043,System,,SOA Dev
ah57ndcla01043,Purpose,,SOA Application Server (IIB)
ah57ndcla01043,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01044,System,,SOA Dev
ah57ndcla01044,Purpose,,SOA Application Server (WSRR)
ah57ndcla01044,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01045,System,,SOA Test
ah57ndcla01045,Purpose,,SOA Application Server (BPM)
ah57ndcla01045,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01046,System,,SOA Test
ah57ndcla01046,Purpose,,SOA Application Server (WAS)
ah57ndcla01046,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01047,System,,SOA Test
ah57ndcla01047,Purpose,,SOA Application Server (IIB)
ah57ndcla01047,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01048,System,,SOA Test
ah57ndcla01048,Purpose,,SOA Application Server (WAS)
ah57ndcla01048,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01049,System,,SOA Test
ah57ndcla01049,Purpose,,SOA Application Server (WSRR)
ah57ndcla01049,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01050,System,,SOA Production-DR
ah57ndcla01050,Purpose,,SOA Application Server (IIB)
ah57ndcla01050,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01051,System,,SOA Production-DR
ah57ndcla01051,Purpose,,SOA Application Server (IIB)
ah57ndcla01051,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01052,System,,SOA Production-DR
ah57ndcla01052,Purpose,,SOA Application Server (WAS)
ah57ndcla01052,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01053,System,,SOA Production-DR
ah57ndcla01053,Purpose,,SOA Application Server (WAS)
ah57ndcla01053,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01054,System,,SOA Production-DR
ah57ndcla01054,Purpose,,SOA Application Server (BPM)
ah57ndcla01054,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01055,System,,SOA Production-DR
ah57ndcla01055,Purpose,,SOA Application Server (BPM)
ah57ndcla01055,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01056,System,,SOA Production-DR
ah57ndcla01056,Purpose,,SOA Application Server (WAS)
ah57ndcla01056,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01057,System,,SOA Production-DR
ah57ndcla01057,Purpose,,SOA Application Server (WAS)
ah57ndcla01057,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01058,System,,SOA Production-DR
ah57ndcla01058,Purpose,,SOA Application Server (WSRR)
ah57ndcla01058,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01059,System,,SOA Production-DR
ah57ndcla01059,Purpose,,SOA Application Server (WSRR)
ah57ndcla01059,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01060,System,,SOA UAT
ah57ndcla01060,Purpose,,SOA Application Server (BPM)
ah57ndcla01060,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01061,System,,SOA UAT
ah57ndcla01061,Purpose,,SOA Application Server (IODM)
ah57ndcla01061,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01062,System,,SOA UAT
ah57ndcla01062,Purpose,,SOA Application Server (IIB)
ah57ndcla01062,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01063,System,,SOA UAT
ah57ndcla01063,Purpose,,SOA Application Server (WAS)
ah57ndcla01063,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01064,System,,SOA UAT
ah57ndcla01064,Purpose,,SOA Application Server (WSRR)
ah57ndcla01064,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01066,System,,SOA Stage
ah57ndcla01066,Purpose,,SOA Application Server (IIB)
ah57ndcla01066,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01067,System,,SOA Stage
ah57ndcla01067,Purpose,,SOA Application Server (IIB)
ah57ndcla01067,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01068,System,,SOA Stage
ah57ndcla01068,Purpose,,SOA Application Server (IIB)
ah57ndcla01068,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01069,System,,SOA Stage
ah57ndcla01069,Purpose,,SOA Application Server (IIB)
ah57ndcla01069,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01070,System,,SOA Stage
ah57ndcla01070,Purpose,,SOA Application Server (IIB)
ah57ndcla01070,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01071,System,,SOA Stage
ah57ndcla01071,Purpose,,SOA Application Server (IIB)
ah57ndcla01071,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01072,System,,SOA Stage
ah57ndcla01072,Purpose,,SOA Application Server (IIB)
ah57ndcla01072,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01073,System,,SOA Stage
ah57ndcla01073,Purpose,,SOA Application Server (IIB)
ah57ndcla01073,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01074,System,,SOA Stage
ah57ndcla01074,Purpose,,SOA Application Server (IIB)
ah57ndcla01074,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01075,System,,SOA Stage
ah57ndcla01075,Purpose,,SOA Application Server (IIB)
ah57ndcla01075,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla01076,System,,SOA POC Rebuild
ah57ndcla01076,Purpose,,SOA Application Server (WAS)
ah57ndcla01076,Supportgroup,,MMIS Support SOA - SOA
ah57ndcla04204,System,,MMIS Dynatrace
ah57ndcla04204,Purpose,,MMIS Dynatrace Cluster Active gate
ah57ndcla04204,Supportgroup,,MMIS DynaTrace SW ADMIN
ah57ndcla04205,System,,MMIS Dynatrace
ah57ndcla04205,Purpose,,MMIS Dynatrace Cluster Active gate
ah57ndcla04205,Supportgroup,,MMIS DynaTrace SW ADMIN
ah57ndcla04206,System,,MMIS Dynatrace
ah57ndcla04206,Purpose,,MMIS Dynatrace Environment Active Gate
